spanish,english,chapter,type
hola,hello,1,word
donde vives,where do you live?,1,word
regular,okay,1,word
fenomenal,great,1,word
como le llamas,what are you called?,1,word
que tal?,how are you,1,word
adois,goodbye,1,word
me llamo…,I am called …,1,word
bein gracias,fine thanks,1,word
hasta lugo,see you later,1,word
fatal,awful,1,word
viro en…,I live in…,1,word
